,comicID,x1,x2,x3,gmmCluster,url
463,464,-22.325884,4.7981067,10.962831,0,"=hyperlink(""https://xkcd.com/464/"")"
327,328,-20.360767,1.6690098,8.439196,0,"=hyperlink(""https://xkcd.com/328/"")"
64,65,-21.926477,2.4019406,18.242188,0,"=hyperlink(""https://xkcd.com/65/"")"
1727,1728,-0.2941788,-1.1782472,8.61143,1,"=hyperlink(""https://xkcd.com/1728/"")"
1729,1730,-0.06399766,-4.031222,0.8135253,1,"=hyperlink(""https://xkcd.com/1730/"")"
1781,1782,8.001231,-0.73624504,-5.602624,1,"=hyperlink(""https://xkcd.com/1782/"")"
367,368,10.927399,-6.1936007,2.6972704,1,"=hyperlink(""https://xkcd.com/368/"")"
1776,1777,-4.384045,-3.177366,-1.8812951,1,"=hyperlink(""https://xkcd.com/1777/"")"
1440,1441,10.492484,-12.513853,7.7963285,1,"=hyperlink(""https://xkcd.com/1441/"")"
1336,1337,2.1683338,-3.1344032,-2.4864023,1,"=hyperlink(""https://xkcd.com/1337/"")"
1012,1013,-7.404141,-9.014623,0.6819705,1,"=hyperlink(""https://xkcd.com/1013/"")"
308,309,1.4714175,3.257167,-3.3406646,1,"=hyperlink(""https://xkcd.com/309/"")"
1014,1015,-1.6696665,-2.2244556,-1.4488264,1,"=hyperlink(""https://xkcd.com/1015/"")"
362,363,-0.0037230612,-5.5372357,3.366607,1,"=hyperlink(""https://xkcd.com/363/"")"
1772,1773,9.039658,-7.8127365,12.001674,1,"=hyperlink(""https://xkcd.com/1773/"")"
1335,1336,13.205283,-3.6396685,0.124606095,1,"=hyperlink(""https://xkcd.com/1336/"")"
320,321,-3.8963268,-10.471995,11.440792,1,"=hyperlink(""https://xkcd.com/321/"")"
593,594,2.0863369,-4.881445,-2.9913068,1,"=hyperlink(""https://xkcd.com/594/"")"
584,585,13.72652,-3.3006127,1.4554425,1,"=hyperlink(""https://xkcd.com/585/"")"
1750,1751,4.8787208,-2.0586355,-1.1171128,1,"=hyperlink(""https://xkcd.com/1751/"")"
340,341,-2.5013175,-5.0876637,10.909458,1,"=hyperlink(""https://xkcd.com/341/"")"
994,995,-5.859808,-15.51346,5.822499,1,"=hyperlink(""https://xkcd.com/995/"")"
331,332,6.0401726,-14.778142,8.338362,1,"=hyperlink(""https://xkcd.com/332/"")"
993,994,8.324391,-5.328945,-3.378187,1,"=hyperlink(""https://xkcd.com/994/"")"
1595,1596,-2.8578157,-6.63121,-0.4213633,1,"=hyperlink(""https://xkcd.com/1596/"")"
1327,1328,1.5283341,-5.5306726,8.086097,1,"=hyperlink(""https://xkcd.com/1328/"")"
345,346,-8.197215,-7.8022456,10.391927,1,"=hyperlink(""https://xkcd.com/346/"")"
1437,1438,0.030571166,-5.3988113,-6.7166147,1,"=hyperlink(""https://xkcd.com/1438/"")"
990,991,-4.008491,-5.9814043,1.4523301,1,"=hyperlink(""https://xkcd.com/991/"")"
1328,1329,-2.6545386,3.7270663,6.2431808,1,"=hyperlink(""https://xkcd.com/1329/"")"
1732,1733,19.70504,-6.592931,-0.63449013,1,"=hyperlink(""https://xkcd.com/1733/"")"
323,324,2.491438,-7.2126493,11.72171,1,"=hyperlink(""https://xkcd.com/324/"")"
583,584,-0.056845855,-8.809511,4.562734,1,"=hyperlink(""https://xkcd.com/584/"")"
